zrodlo,qid,pytanie,gold_answer,aliases,passaz,passaz_url,dataset_config,dataset_split,source_question_id
triviaqa,triviaqa_tc_1069,In which American state is the Isabella Stewart Gardner Museum?,Massachusetts,"Massachusetts|Massachusetts (state)|Massachusetts culture|Massachusetts, United States|Culture of Massachusetts|Commonwealth of Massachusetts|Religion in Massachusetts|Transport in Massachusetts|Economy of Massachusetts|The Commonwealth of Massachusetts|Transportation in Massachusetts|Massachusetts state|Most Serene Commonwealth of Massachusetts|Massachusetts (U.S. state)|State of Massachusetts|Education in Massachusetts",,,rc.nocontext,validation,tc_1069
triviaqa,triviaqa_wh_3301,"Which opera by Rossini , his last , is based on a play by Schiller ?",WILLIAM TELL,"WILLIAM TELL|William, Tell",,,rc.nocontext,validation,wh_3301
triviaqa,triviaqa_qb_4949,‘The Queen was in the parlour eating bread and honey’ in which nursery rhyme?,Sing a Song of Sixpence,Sing a Song of Sixpence,,,rc.nocontext,validation,qb_4949
triviaqa,triviaqa_odql_8301,Who is the father-in-law of Manchester City footballer Sergio Kűn Aguerro?,DIEGO MARADONA,"DIEGO MARADONA|El Diego|Diego Marradonna|Maradona|Diego Maradonna|Maradona, Diego|Diego Marradona|Diego Armando Maradona",,,rc.nocontext,validation,odql_8301
triviaqa,triviaqa_dpql_206,What colour hair did Charles Dickens' character David Copperfield have?,RED,RED|Red (comics)|Red (song)|Red (comic)|Red (album)|Red (film)|Red (disambiguation),,,rc.nocontext,validation,dpql_206
triviaqa,triviaqa_bb_1493,Elizabeth Taylor made a fortune from what business aside from acting?,Perfume,Perfume|Perfume bottles|Perfume bottle|Perfume Industry,,,rc.nocontext,validation,bb_1493
triviaqa,triviaqa_sfq_19603,What is the name of the charity for single parents founded in the 1970s which currently has J K Rowling as its President?,GINGERBREAD,GINGERBREAD|Gingerbread cookie,,,rc.nocontext,validation,sfq_19603
triviaqa,triviaqa_sfq_16378,Who was the UK Poet Laureate or the longest period?,Alfred Lord Tennyson,"Alfred Lord Tennyson|A. tennyson|Baron Alfred Tennyson|Tennyson (poet)|Alfred Tennyson, Lord Tennyson|Tennyson, Alfred, 1st Lord|Alfred Tennyson Tennyson|Alfred Lord Tennison|Tennyson|A Tennyson|Lord Tennyson|Alfred Tennyson, 1st Baron Tennyson|Alfred, Lord Tennyson|Alfred Tennyson|Lord Tennyson Alfred|Lord Alfred Tennyson",,,rc.nocontext,validation,sfq_16378
triviaqa,triviaqa_qb_6288,Giugno is Italian for which month of the year?,June,June|㋅|June 31|June 31st,,,rc.nocontext,validation,qb_6288
triviaqa,triviaqa_qf_277,What character was played by Bill Fraser in 'The Army Game'?,Snudge,Snudge,,,rc.nocontext,validation,qf_277
triviaqa,triviaqa_wh_817,Who is the Greek God of War?,ARES,ARES|Ares (disambiguation),,,rc.nocontext,validation,wh_817
triviaqa,triviaqa_sfq_3290,For which scientific discovery did Crick and Watson receive the 1962 Nobel Prize for Medicine?,DNA structure,DNA structure|RNA Structure|Nucleic acid structure|Mechanical properties of DNA|DNA topology|DNA bubble,,,rc.nocontext,validation,sfq_3290
triviaqa,triviaqa_odql_3663,Nouakchott is the capital of which Islamic African republic?,MAURETANIA,MAURETANIA|Mauretania Secunda|Roman Mauretania|Ancient mauretania|Kingdom of Mauretania|Mauretania Prima|List of Kings of Mauretania|King of Mauretania|Classical mauretania|Mauretania Sitifensis,,,rc.nocontext,validation,odql_3663
triviaqa,triviaqa_qb_1414,A creance is the name of the long fine cord used in which sport?,Falconry,Falconry|Hawking (falconry),,,rc.nocontext,validation,qb_1414
triviaqa,triviaqa_qb_2020,Selenology is the scientific study of which celestial body?,The moon,The moon|Moon-like|Mass of the Moon|Moon mass|Moon|🌙|Mass of Moon|Earth and moon|🌛|🌜|Pictures on the moon|☽|☾|Luna (moon)|Earth's moon|Moon (moon)|Moon (Earth)|Moon-likeness|Moon distance from earth|Moon likeness|Moon like,,,rc.nocontext,validation,qb_2020
triviaqa,triviaqa_bb_3952,In June 2013 US Texas State Senator Wendy Davis filibustered for 10 hours to obstruct Texas state laws concerning?,Abortion,"Abortion|Abortion, Physical Effects of|Induced abortion|Abortion and health|Abortion.|Third-trimester abortion|Abortion, induced|Complications of Abortion|Pine needle abortion|Abortion Complications|Abortion in animals|Physical Effects of Abortion|Surgical abortion|Elective abortion|Total abortion rate|Pregnancy abortion",,,rc.nocontext,validation,bb_3952
triviaqa,triviaqa_tc_2090,Who first drew Mickey Mouse when ?Disney first supplied the voice?,Ub Iwerks,"Ub Iwerks|Iwerks, Ub|Ub Iwerks Studio",,,rc.nocontext,validation,tc_2090
triviaqa,triviaqa_odql_10047,Alan Greenspan was the head of which US government department from 1987 to 2006?,FEDERAL RESERVE BOARD,FEDERAL RESERVE BOARD|FRB|Board of Governors of the Federal Reserve System|Federal Reserve governor|U.S. Federal Reserve governor|Federal Reserve Board of Governors|Board of Governors of the Federal Reserve,,,rc.nocontext,validation,odql_10047
triviaqa,triviaqa_sfq_7781,In what year was the Battle of Stamford Bridge?,1066,1066|one thousand and sixty-six,,,rc.nocontext,validation,sfq_7781
triviaqa,triviaqa_sfq_21320,What was the Russian City of Nizhny Novgorod called between 1932 and 1990?,GORKY,GORKY|Gorky (disambiguation),,,rc.nocontext,validation,sfq_21320
triviaqa,triviaqa_bb_8041,Zloty and Grosz are money in which country?,Poland,Poland|Etymology of Poland|Republic of Poland|Fourth Poland|Country- Poland|Poland.|Architecture of Poland,,,rc.nocontext,validation,bb_8041
triviaqa,triviaqa_sfq_23344,Which US folk singer had the words “This machine kills fascists” written on his guitar?,Woody Guthrie,"Woody Guthrie|Woody Guthry|Woodrow Wilson %22Woody%22 Guthrie|Woodie Guthrie|Guthrie, Woody|Woodrow Wilson Guthrie",,,rc.nocontext,validation,sfq_23344
triviaqa,triviaqa_odql_9681,How is 'The Journal Of The House Of Commons' better known?,'HANSARD','HANSARD',,,rc.nocontext,validation,odql_9681
triviaqa,triviaqa_wh_4276,"According to the Old Testament, who was the wife of Abraham and the mother of Isaac ?",SARAH,SARAH,,,rc.nocontext,validation,wh_4276
triviaqa,triviaqa_odql_14990,Who composed the Liverpool Oratorio in collaboration with Carl Davis?,Paul McCartney,"Paul McCartney|Paul Mcartney|Paul mc cartney|Paul Ramon|Sir James Paul McCartney MBE|Paul MacCartney|Paul Ramone|Sir James Paul McCartney|Paul McCartney: Relationships and marriages|Ballets to the music of Paul McCartney|Beatle Paul|McCartney, Paul|Paul McCartney's solo career|Sir paul mccartney|James Paul McCartney|Paul mccartny",,,rc.nocontext,validation,odql_14990
triviaqa,triviaqa_odql_12335,Which French romantic artist who painted Massacre at Chios and Women of Algiers was born on this day in 1798?,(Eugene) Delacroix,"(Eugene) Delacroix|Delacroix, Ferdinand-Victor-Eugène|Delacroix, Ferdinand Victor Eugene|Ferdinand-Victor-Eugene Delacroix|Eugene Delacroix|Eugène Ferdinand Victor Delacroix|Ferdinand-Eugène-Victor Delacroix|Delacroix, Ferdinand-Victor-Eugene|Ferdinand Victor Eugene Delacroix|Ferdinand-Victor-Eugène Delacroix|Eugene de la Croix|Eugène Delacroix|Ferdinand-Victor Eugene Delacroix|Ferdinand Delacroix|Ferdinand Victor Eugène Delacroix|Delacroix, Ferdinand Victor Eugène|Eugene Ferdinand Victor Delacroix|Ferdinand Victor Eugen Delacroix",,,rc.nocontext,validation,odql_12335
triviaqa,triviaqa_jp_657,What did Tikki Tikki Tembo fall into?,a Well,"a Well|The Well (album)|The Well (disambiguation)|The Well|Well, The|The Well (film)",,,rc.nocontext,validation,jp_657
triviaqa,triviaqa_dpql_5066,Which is the most southerly of the Shipping Forecast areas?,Trafalgar,Trafalgar|Trafalgar (disambiguation),,,rc.nocontext,validation,dpql_5066
triviaqa,triviaqa_sfq_23329,A gerber was an alternative name for which traditional trade/craftsman?,Tanner,Tanner|Tanner (name)|Tanner (disambiguation),,,rc.nocontext,validation,sfq_23329
triviaqa,triviaqa_bb_5774,"What famous road began in Chicago, Illinois, ending at Santa Monica, California?",Route 66,Route 66|Route 66 (public transport)|Route 66 (disambiguation),,,rc.nocontext,validation,bb_5774
triviaqa,triviaqa_sfq_14566,Moroni is the capital of which Indian Ocean island group?,COMOROS,COMOROS|Federal Islamic Republic of the Comoros|Union of the Comoros|Culture of Comoros|Federal and Islamic Republic of Comoros|State of Comoros|The Comoros|Union of Comoros|State of the Comoros|Islamic Federal Republic of Comoros|Comoros Republic|Republic of the Comoros|The Union of Comoros|Islamic Republic of the Comoros|Islamic Federal Republic of the Comoros|Federal and Islamic Republic of the Comoros|Culture of the Comoros,,,rc.nocontext,validation,sfq_14566
triviaqa,triviaqa_dpql_2596,Which English town/city did the Romans call Dubris?,Dover,"Dover|Dover RFC|Docks Of Dover|The weather in Dover|Charlton by Dover|Dover, Kent|Dover (town, England)|Dover, England",,,rc.nocontext,validation,dpql_2596
triviaqa,triviaqa_qw_8348,"Maine Coon, Munchkin, Oriental Shorthair, Persian, Ragamuffin, Russian Blue, Siamese, Siberian, Snowshoe, Sphynx, Tonkinese and Manx are all breeds of what?",Cat,Cat|Alley-cat|🐈|House cat|Domestic cat|Tom (cat)|A Cat|🐱|Cat (animal)|😻|Domesticated cat|Cat poison|Cat baths|Pet cat,,,rc.nocontext,validation,qw_8348
triviaqa,triviaqa_qw_13550,"In October 2003, which cricketer, playing in a Test series against Zimbabwe, scored a record 380 not out?",Matthew Hayden,Matthew Hayden|Mathew Hayden|Matt Hayden|Matty hayden|ML Hayden,,,rc.nocontext,validation,qw_13550
triviaqa,triviaqa_sfq_19424,Which of the Queen's horses won the 2013 Ascot Gold Cup?,Estimate,Estimate,,,rc.nocontext,validation,sfq_19424
triviaqa,triviaqa_dpql_5817,Which 1987 US film was based on the 1985 French film ‘Trois hommes et un couffin’?,THREE MEN AND A BABY,THREE MEN AND A BABY|3 Men and a Baby|Peter Mitchell (Three Men and a Baby)|Jack Holden (Three Men and a Baby),,,rc.nocontext,validation,dpql_5817
triviaqa,triviaqa_qb_10149,What colour is the liqueur Galliano?,Yellow,Yellow|Yellow color|White-yellow|Dark yellow|Symbolism of yellow|Yellow (color)|Yellow (colour)|Yellow white|White yellow|Royal yellow|Yellow-white,,,rc.nocontext,validation,qb_10149
triviaqa,triviaqa_bb_3998,The word Tet in the Tet Offensive (N Vietnam/Viet Cong against S Vietnam/US forces on 30 Jan 1968) referred to the national?,New Year,New Year|New-year|Turn of the year|New Year Festival|New Year's|New Years,,,rc.nocontext,validation,bb_3998
triviaqa,triviaqa_odql_13385,By what first name is West Indian cricketer Sarwan known?,RAMNARESH,RAMNARESH,,,rc.nocontext,validation,odql_13385
triviaqa,triviaqa_sfq_13317,Goodge Street tube station is on which London Underground line?,Northern,Northern|Northern (disambiguation),,,rc.nocontext,validation,sfq_13317
triviaqa,triviaqa_qb_9577,What is the first name of Blackadder in the UK television series ‘Blackadder’?,Edmund,Edmund|Edmund (given name),,,rc.nocontext,validation,qb_9577
triviaqa,triviaqa_qf_85,'Yellow River' was a May 1970 No.1 for who?,Christie,Christie|Christie (disambiguation),,,rc.nocontext,validation,qf_85
triviaqa,triviaqa_odql_14848,On which Italian track was the Formula One San Marino Grand Prix held?,Imola,Imola,,,rc.nocontext,validation,odql_14848
triviaqa,triviaqa_sfq_12214,The ESA was 35 years old in 2010. For what does the S stand?,Space,Space|Physical space|Space (astronomy)|Three-Space|Space (physics)|Space (philosophy)|Geometrical space,,,rc.nocontext,validation,sfq_12214
triviaqa,triviaqa_sfq_20339,What is the principal charity for single parent families in the UK?,Gingerbread,Gingerbread|Gingerbread cookie,,,rc.nocontext,validation,sfq_20339
triviaqa,triviaqa_bt_4210,Who were the first League Cup winners,Aston Villa,Aston Villa|Aston Villa F.C|Aston Villa FC|Villa News and Record|Aston Villa F C|Aston vil|Aston Villa F. C.|Aston Villa Football Club|Villa football club|Aston Villa Hall of Fame|Aston Villa F.C.,,,rc.nocontext,validation,bt_4210
triviaqa,triviaqa_qz_2289,Wayne Rooney scored his first senior goal against which club?,Arsenal,Arsenal|Arsenal (weaponry)|Arsenal (ammunition),,,rc.nocontext,validation,qz_2289
triviaqa,triviaqa_qz_3152,Who is Arthur Wellesley better known as?,Duke of Wellington,"Duke of Wellington|First Duke of Wellington|General Wellington|Arthur Wellesley , 1st Duke of Wellington|Duke of Wellingon (1st)|Arthur Wellesley Wellington|The Iron Duke|Arthur Wellesly, 1st Duke of Wellington|Lord Wellington|Duke Wellington|The Duke of Wellington|Duke of Vitoria|Duke of Wellington Arthur Wellesley|Arthur Wellesley, First Duke of Wellington|Marquess of Wellington|Viscount Wellington|Arthur Wellesley, 1st Duke of Wellington|Duke of Wellington Great Duke|Earl of Wellington|1st Duke of Wellington",,,rc.nocontext,validation,qz_3152
triviaqa,triviaqa_odql_206,The existance of which planet was mathematically,NEPTUNE,NEPTUNE,,,rc.nocontext,validation,odql_206
triviaqa,triviaqa_qz_611,What are the names of Donald Duck's three nephews?,"Huey, Dewey and Louie","Huey, Dewey and Louie|Huey, Louie and Dewey|Huey , Dewey and Louie|Huey, Dewey & Louie|Huey Duck|Huey, Duey and Louie|Louie Duck|Huey, Dewey, and Louie|Huey dewey and louie|Dewey Duck|Huey, Dewey, & Louie|Huey, Duey, and Louie|Huey, Dewey and Louie filmography|Huey, Dewey, and Louie Duck|Huey, Duey, and Louis|Huey, Dewey|Huey dewie and louie|Huey, Dewey and Louie Duck",,,rc.nocontext,validation,qz_611
triviaqa,triviaqa_qg_547,Kirkland Signature is the house brand of what retail giant?,Costco,Costco|Costco.com|The Costco Wholesale Corporation|Costco Wholesale|Costco Wholesale Corporation|Costco Wholesale Club|Costco Inc.|Costco cash|Price-Costco|Costco Connection|Costco Co.|Costco Wholesale Corp|Costco Wholesale Corp.|Costco travel|The Costco Connection,,,rc.nocontext,validation,qg_547
triviaqa,triviaqa_bt_4413,Who was the original bass guitarist with The Who,John Entwhistle,John Entwhistle|John Entwistle's|John Entwistle Bogey Man|John Alec Entwistle|John Entwistle,,,rc.nocontext,validation,bt_4413
triviaqa,triviaqa_sfq_8726,"What name is given to the bridge design, such as Tower Bridge, with a divided lifting roadway?",BASCULE,BASCULE|Bascule (disambiguation),,,rc.nocontext,validation,sfq_8726
triviaqa,triviaqa_dpql_345,On a motorway what is the speed limit for a car towing a caravan?,60 mph,60 mph,,,rc.nocontext,validation,dpql_345
triviaqa,triviaqa_qw_6697,What is the name of the line separating the numerator and denominator of a fraction if it is written as a diagonal line?,Solidus,Solidus|Solidus Line|Solidus (disambiguation),,,rc.nocontext,validation,qw_6697
triviaqa,triviaqa_sfq_15113,The flag of the Great Socialist People's Libyan Arab Jamahiriya was what single colour?,Green,Green|Green (color)|The colour green|List of terms associated with the color green|The color green|Pastel green|Green (colour),,,rc.nocontext,validation,sfq_15113
triviaqa,triviaqa_sfq_17706,Ursus arctos horribilis is the scientific name of which animal?,GRIZZLY BEAR,"GRIZZLY BEAR|Silvertip Bear|Mainland grizzly|Grizzley bear|American Grizzly Bear|Grizzlie bear|Grizzly bears and their habitat|Peninsular grizzly|Hunting Status On Grizzly Bears in British Columbia, Canada|Grizzly|Grizzly bears|American Grizzly|Grizzly Bears and Their Effects on Ecosystems|Grizzlar Bear",,,rc.nocontext,validation,sfq_17706
triviaqa,triviaqa_wh_2999,Which of the Noble Gases takes its name from the Greek for 'hidden' ?,KRYPTON,KRYPTON|KRYPTON (Programming Language)|KRYPTON programming language,,,rc.nocontext,validation,wh_2999
triviaqa,triviaqa_sfq_13492,Which popular newsreader resigned from ITN in 1979?,REGINALD BOSANQUET,REGINALD BOSANQUET,,,rc.nocontext,validation,sfq_13492
triviaqa,triviaqa_sfq_19838,Which play by Sir Peter Shaffer was made into a film with Tom Hulce in the title role?,AMADEUS,AMADEUS|Amadeus (play),,,rc.nocontext,validation,sfq_19838
triviaqa,triviaqa_dpql_5620,In which city was the wheelchair bound Robert Ironside Chief of detectives?,San Francisco,"San Francisco|San Fransciso|San francisco radio stations|The weather in San Francisco|San Fransisco, California|San Francisco (City and County)|San Francisco County, California|San Francisco, CA, United States|More reading about San Francisco|San Franciscan|San Franciscans|San Francisco, Calif|San-Fransisco|City & County of San Francisco|San Francisco County, CA|San Francisco, California, U.S.|San Fransisco CA|San Francisco county|San Francisco (county)|San Francisco City and County|San Pancho|Climate of San Francisco|San-Francisco|San Francisco, California, United States|San Francisco, California, USA|San Fran|San Francisco (Calif.)|San Francisco, California|San Francisco, CA.|Radio stations in san francisco|San Fransico County, California|San Francisco, Calif.|Demographics of San Francisco|San Francisco, United States of America|County of San Francisco|San Francisco, CA|San Francisco, California, U.S.A.|San Francisco, US-CA|San Francisco CA|City of San Francisco, California|San Francisco (CA)|San Fran, California|City and County of San Francisco, California|San Fransico, California|San Franscisco|City of San Francisco|County of San Francisco, California|San Francisco, California, US|San Franciso|San Fransisco|San Francisco, USA|Crime in San Francisco|City and County of San Francisco|San Francisco, United States|McKinley Elementary School San Francisco|San Fransisco, CA|San Fransico",,,rc.nocontext,validation,dpql_5620
triviaqa,triviaqa_odql_14427,What is the name of the UK Women's Prize for Fiction?,THE ORANGE PRIZE,THE ORANGE PRIZE|Baileys Women's Prize for Fiction|Women's Prize for Fiction|Orange Broadband Prize|Orange Broadband Prize for Fiction|Orange Prize|Orange Prize for Fiction,,,rc.nocontext,validation,odql_14427
triviaqa,triviaqa_bb_7609,What is the name of the assembly of cardinals for the election of a pope?,Conclave,Conclave|Papal conclave|Sacred Conclave,,,rc.nocontext,validation,bb_7609
triviaqa,triviaqa_qz_1725,Who dated actress Elizabeth Hurley between 2000 and 2001 and denied he was the father of her son born in 2002 before a DNA test proved otherwise?,Stephen Bing,Stephen Bing|Steve bing|Steven Bing,,,rc.nocontext,validation,qz_1725
triviaqa,triviaqa_qb_1030,Which famous racehorse won Australia’s Melbourne Cup in 1930?,Phar Lap,Phar Lap|Phar,,,rc.nocontext,validation,qb_1030
triviaqa,triviaqa_sfq_3798,The John Brown Shipyard is/was on which river?,Clyde,Clyde|Clyde (disambiguation),,,rc.nocontext,validation,sfq_3798
triviaqa,triviaqa_bb_5000,The expression 'Go West' originally (mid-1800s) encouraged people to move from/within?,America,"America|The United States of America|Unite states of america|United States of America (redirect)|Usa|United Staets of America|The United States of America.|The U. S. of America|America (United States)|U S of America|U-S|United states of america|US of america|Untied States of America|The U S of America|Estados Unidos de America|The U.S. of America|United State of America|Los Estados Unidos de America|United States (of America)|States of America|America-class|VS America|US|United States of America (U.S.A.)|America class|America magazine|U S|United States of America (USA)|United States of America.|United States of America/OldPage|U.S. of America|U–S|America (country)|United States America|America, United States of|U. S. of America|U.S. America|America (US)|U.S|America (United States of)|The US of america|US America|These United States of America|America (USA)|United States of America/Introduction|V.S. America|United+States+of+America|The Unites States of America",,,rc.nocontext,validation,bb_5000
triviaqa,triviaqa_qz_5801,What was the name of the World War I fighter ace nicknamed the Red Baron?,Manfred von Richtofen.,"Manfred von Richtofen.|Manfred Albrecht Freiherr von Richthofen|Baron Manfred Albrecht von Richthofen|Manfred von Richtoven|Baron von Richtoven|Baron von Ricktoven|Manfred von Richthofen (The Red Baron)|Baron von Richthoven|Manfred Von Richthofen|Manfred von Richtofen|Manfred Albrecht von Richthofen|Manfred von Rickthoven|Manfred, Freiherr von Richthofen|Manfred von Rickthofen|Richthofen, Manfred, Freiherr von|Manfred von Richthoven|Baron Manfred von Richtofen|Baron Manfred von Richtoven|Baron Manfred von Rickthoven|Baron Manfred von Ricktoven|Baron Manfred von Rickthofen|Manfred von Ricktoven|Baron von Rickthofen|Baron Manfred von Richthofen|Baron Von Richtofen|Baron von Rickthoven|Baron Manfred von Richthoven",,,rc.nocontext,validation,qz_5801
triviaqa,triviaqa_qf_630,What is the name of the island in Norway where over 80 people lost their lives to a gunman on 22nd July?,Utoya Island,Utoya Island|Utoeya island|Utoya,,,rc.nocontext,validation,qf_630
triviaqa,triviaqa_dpql_5208,"In a famous and popular series of books, what rests on the back of four giant elephants?",DISCWORLD,DISCWORLD|Great Atuin (Discworld)|The Folklore of Discworld|The Discworld|Discworld calendar|List of characters in Discworld|Folklore of Discworld|List of characters in the Discworld|Discworld (world)|Discworld magic|Magic (Discworld),,,rc.nocontext,validation,dpql_5208
triviaqa,triviaqa_qb_4235,In the Charles Dickens novel ‘Oliver Twist’ what is the name of Bill Sykes dog?,Bulls Eye,Bulls Eye,,,rc.nocontext,validation,qb_4235
triviaqa,triviaqa_qg_2410,The Tour de France always ends in Paris. In what European city did it begin this year?,Monaco,"Monaco|Principauté de Monaco|Princedom of Monaco|Extreme points of monaco|Geography of monaco|Monaco, Principality and Diocese of|Climate of Monaco|Sports in Monaco|Religion in Monaco|Subdivisions of Monaco|Monaco/Geography|Europe/Monaco|Culture of Monaco|Protestantism in Monaco|Monaco/Military|Capital of Monaco|Principaut de Monaco|Administrative divisions (Monaco)|List of cities in Monaco|Islam in Monaco|The weather in Monaco|Principality of Monaco|Principato di Monaco|Principality and Diocese of Monaco|Wards of Monaco|Administrative divisions of Monaco|Quarters of Monaco|Monaco/Transnational issues|Sport in Monaco",,,rc.nocontext,validation,qg_2410
triviaqa,triviaqa_sfq_18732,"Which town stands on the River Aare, between the lakes of Brienz and Thun?",Interlaken,"Interlaken|Interlaken (Bern)|Interlaken (Berne)|Interlaken, Switzerland|Interlaken BE",,,rc.nocontext,validation,sfq_18732
